"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 23 20:41:03 GMT 2021","Mon Aug 23 20:41:12 GMT 2021","8786","tests","cookie_test","","","","test_cookie",""
"broken","Mon Aug 23 20:41:40 GMT 2021","Mon Aug 23 20:42:13 GMT 2021","33095","tests","edit_blog_test","","","","test_edit_blog",""
"passed","Mon Aug 23 20:42:24 GMT 2021","Mon Aug 23 20:42:27 GMT 2021","3460","tests","logout_test","","","","test_sign_in",""
"passed","Mon Aug 23 20:42:21 GMT 2021","Mon Aug 23 20:42:24 GMT 2021","3381","tests","login_test","","","","test_sign_in",""
"passed","Mon Aug 23 20:42:39 GMT 2021","Mon Aug 23 20:42:52 GMT 2021","12535","tests","register_test","","","","test_register",""
"passed","Mon Aug 23 20:41:22 GMT 2021","Mon Aug 23 20:41:40 GMT 2021","17964","tests","delete_post_test","","","","test_delete",""
"broken","Mon Aug 23 20:40:55 GMT 2021","Mon Aug 23 20:41:03 GMT 2021","7702","tests","blog_test","","","","test_newblog",""
"passed","Mon Aug 23 20:42:13 GMT 2021","Mon Aug 23 20:42:21 GMT 2021","7815","tests","follow_test","","","","test_follow",""
"passed","Mon Aug 23 20:41:12 GMT 2021","Mon Aug 23 20:41:22 GMT 2021","9804","tests","data_test","","","","test_filled_data",""
"broken","Mon Aug 23 20:42:27 GMT 2021","Mon Aug 23 20:42:39 GMT 2021","11777","tests","post_test","","","","test_comment",""
"passed","Mon Aug 23 20:40:47 GMT 2021","Mon Aug 23 20:40:55 GMT 2021","7827","","edit_test","","","","test_edit_blog",""
