"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 23 20:03:42 GMT 2021","Mon Aug 23 20:04:15 GMT 2021","33005","tests","edit_blog_test","","","","test_edit_blog",""
"passed","Mon Aug 23 20:03:24 GMT 2021","Mon Aug 23 20:03:42 GMT 2021","17837","tests","delete_post_test","","","","test_delete",""
"broken","Mon Aug 23 20:02:58 GMT 2021","Mon Aug 23 20:03:06 GMT 2021","7767","tests","blog_test","","","","test_newblog",""
"passed","Mon Aug 23 20:04:23 GMT 2021","Mon Aug 23 20:04:26 GMT 2021","3339","tests","login_test","","","","test_sign_in",""
"broken","Mon Aug 23 20:04:30 GMT 2021","Mon Aug 23 20:04:44 GMT 2021","13816","tests","post_test","","","","test_comment",""
"passed","Mon Aug 23 20:04:15 GMT 2021","Mon Aug 23 20:04:23 GMT 2021","7711","tests","follow_test","","","","test_follow",""
"passed","Mon Aug 23 20:03:06 GMT 2021","Mon Aug 23 20:03:15 GMT 2021","8688","tests","cookie_test","","","","test_cookie",""
"passed","Mon Aug 23 20:04:26 GMT 2021","Mon Aug 23 20:04:30 GMT 2021","3381","tests","logout_test","","","","test_sign_in",""
"failed","Mon Aug 23 20:04:44 GMT 2021","Mon Aug 23 20:04:51 GMT 2021","7340","tests","register_test","","","","test_register",""
"passed","Mon Aug 23 20:03:15 GMT 2021","Mon Aug 23 20:03:24 GMT 2021","9689","tests","data_test","","","","test_filled_data",""
