"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 24 09:41:21 GMT 2021","Tue Aug 24 09:41:24 GMT 2021","3431","tests","logout_test","","","","test_sign_in",""
"passed","Tue Aug 24 09:41:18 GMT 2021","Tue Aug 24 09:41:21 GMT 2021","3374","tests","login_test","","","","test_sign_in",""
"passed","Tue Aug 24 09:40:44 GMT 2021","Tue Aug 24 09:41:02 GMT 2021","17981","tests","delete_post_test","","","","test_delete",""
"broken","Tue Aug 24 09:40:19 GMT 2021","Tue Aug 24 09:40:25 GMT 2021","5821","tests","blog_test","","","","test_newblog",""
"passed","Tue Aug 24 09:41:02 GMT 2021","Tue Aug 24 09:41:10 GMT 2021","7617","tests","edit_test","","","","test_edit_blog",""
"broken","Tue Aug 24 09:41:24 GMT 2021","Tue Aug 24 09:41:46 GMT 2021","21947","tests","post_test","","","","test_comment",""
"passed","Tue Aug 24 09:40:34 GMT 2021","Tue Aug 24 09:40:44 GMT 2021","9769","tests","data_test","","","","test_filled_data",""
"passed","Tue Aug 24 09:40:25 GMT 2021","Tue Aug 24 09:40:34 GMT 2021","8956","tests","cookie_test","","","","test_cookie",""
"passed","Tue Aug 24 09:41:10 GMT 2021","Tue Aug 24 09:41:18 GMT 2021","7822","tests","follow_test","","","","test_follow",""
"passed","Tue Aug 24 09:41:46 GMT 2021","Tue Aug 24 09:42:04 GMT 2021","17502","tests","register_test","","","","test_register",""
