"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 24 09:38:29 GMT 2021","Tue Aug 24 09:38:36 GMT 2021","7727","tests","follow_test","","","","test_follow",""
"passed","Tue Aug 24 09:38:21 GMT 2021","Tue Aug 24 09:38:29 GMT 2021","7556","tests","edit_test","","","","test_edit_blog",""
"passed","Tue Aug 24 09:38:40 GMT 2021","Tue Aug 24 09:38:43 GMT 2021","3440","tests","logout_test","","","","test_sign_in",""
"passed","Tue Aug 24 09:37:53 GMT 2021","Tue Aug 24 09:38:03 GMT 2021","9705","tests","data_test","","","","test_filled_data",""
"passed","Tue Aug 24 09:37:44 GMT 2021","Tue Aug 24 09:37:53 GMT 2021","8886","tests","cookie_test","","","","test_cookie",""
"broken","Tue Aug 24 09:38:43 GMT 2021","Tue Aug 24 09:39:05 GMT 2021","21861","tests","post_test","","","","test_comment",""
"passed","Tue Aug 24 09:39:05 GMT 2021","Tue Aug 24 09:39:22 GMT 2021","17471","tests","register_test","","","","test_register",""
"broken","Tue Aug 24 09:37:39 GMT 2021","Tue Aug 24 09:37:44 GMT 2021","5626","tests","blog_test","","","","test_newblog",""
"passed","Tue Aug 24 09:38:36 GMT 2021","Tue Aug 24 09:38:40 GMT 2021","3350","tests","login_test","","","","test_sign_in",""
"passed","Tue Aug 24 09:38:03 GMT 2021","Tue Aug 24 09:38:21 GMT 2021","17870","tests","delete_post_test","","","","test_delete",""
