"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 24 08:26:18 GMT 2021","Tue Aug 24 08:26:26 GMT 2021","8715","tests","cookie_test","","","","test_cookie",""
"passed","Tue Aug 24 08:26:54 GMT 2021","Tue Aug 24 08:27:02 GMT 2021","7583","tests","edit_test","","","","test_edit_blog",""
"passed","Tue Aug 24 08:27:13 GMT 2021","Tue Aug 24 08:27:16 GMT 2021","3423","tests","logout_test","","","","test_sign_in",""
"passed","Tue Aug 24 08:27:02 GMT 2021","Tue Aug 24 08:27:09 GMT 2021","7781","tests","follow_test","","","","test_follow",""
"broken","Tue Aug 24 08:26:10 GMT 2021","Tue Aug 24 08:26:18 GMT 2021","7663","tests","blog_test","","","","test_newblog",""
"passed","Tue Aug 24 08:26:26 GMT 2021","Tue Aug 24 08:26:36 GMT 2021","9723","tests","data_test","","","","test_filled_data",""
"passed","Tue Aug 24 08:27:28 GMT 2021","Tue Aug 24 08:27:45 GMT 2021","17476","tests","register_test","","","","test_register",""
"passed","Tue Aug 24 08:27:09 GMT 2021","Tue Aug 24 08:27:13 GMT 2021","3359","tests","login_test","","","","test_sign_in",""
"broken","Tue Aug 24 08:27:16 GMT 2021","Tue Aug 24 08:27:28 GMT 2021","11695","tests","post_test","","","","test_comment",""
"passed","Tue Aug 24 08:26:36 GMT 2021","Tue Aug 24 08:26:54 GMT 2021","17916","tests","delete_post_test","","","","test_delete",""
